epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,time
1,0.6355260467692597,,,0.7507507507507507,0.785248779549335,,
2,0.5581879845765083,,,0.4984984984984985,0.28738907726715246,,
3,0.5435262036650148,,,0.7287287287287287,0.7929001434881241,,
4,0.5350283495911724,,,0.5055055055055055,0.7207873409806892,,
5,0.5233162317646148,,,0.7287287287287287,0.8003270567299137,,
6,0.5167696044597452,,,0.6566566566566566,0.7886596285340965,,
7,0.5231769438747946,,,0.5255255255255256,0.7509479033900072,,
8,0.5129978542458521,,,0.5055055055055055,0.7404628494015985,,
9,0.5129750669002533,,,0.6786786786786787,0.7890363850612029,,
10,0.5092756854344721,,,0.7287287287287287,0.7974212218134014,,
11,0.5076745934954517,,,0.7397397397397397,0.8051727869562082,,
12,0.5090599080471143,,,0.5835835835835835,0.7874612221340452,,
