epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,time
1,0.6569335381734317,,,,0.41393518184514505,0.001,
2,0.628692982403655,,,,0.3560770026212635,0.001,
3,0.6076279870451313,,,,0.740438801112634,0.001,
4,0.59468468669887,,,,0.7876776567347232,0.001,
5,0.5751473523982583,,,,0.7801545503370769,0.001,
6,0.5658034012742239,,,,0.7626794603563958,0.001,
7,0.558533852911431,,,,0.7910003286599492,0.001,
8,0.5536470102937254,,,,0.7865073066717969,0.001,
9,0.5547044895010996,,,,0.7757456973602995,0.001,
10,0.5469384564928812,,,,0.763849810419322,0.001,
11,0.5484424843091399,,,,0.7741104137107311,0.0001,
12,0.5391246777146919,,,,0.7838740190302127,0.0001,
13,0.5349744705304708,,,,0.7821946468508767,0.0001,
14,0.5389482877025865,,,,0.7816335201083777,0.0001,
15,0.5298479864858601,,,,0.779837914532381,1e-05,
16,0.5319854830770188,,,,0.7799982364588094,1e-05,
17,0.5349463350968818,,,,0.7819140834796272,1e-05,
18,0.5350961531406124,,,,0.78459546769914,1e-05,
19,0.5328955006653859,,,,0.7842988721352475,1.0000000000000002e-06,
20,0.5330189730478748,,,,0.7847678137700502,1.0000000000000002e-06,
