epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,time
1,0.5844380203882853,,,0.49937421777221525,0.5,,
2,0.47414899276362527,,,0.49937421777221525,0.8323840852130326,,
3,0.4350627937581804,,,0.5006257822277848,0.829655388471178,,
4,0.4151163477367825,,,0.49937421777221525,0.814968671679198,,
5,0.39475674907366437,,,0.5006257822277848,0.8487155388471178,,
6,0.3738938667707973,,,0.6871088861076345,0.8351315789473683,,
7,0.3565862982802921,,,0.49937421777221525,0.8285839598997493,,
8,0.35324536548720464,,,0.5006257822277848,0.8682769423558897,,
9,0.33247120089001125,,,0.5006257822277848,0.8227882205513785,,
10,0.31375680536031725,,,0.49937421777221525,0.5,,
11,0.3163617193036609,,,0.49937421777221525,0.5,,
12,0.29659588985972934,,,0.49937421777221525,0.5,,
13,0.2928115936120351,,,0.49937421777221525,0.5,,
14,0.27187128096818924,,,0.49937421777221525,0.5,,
15,0.2680855037106408,,,0.49937421777221525,0.5,,
16,0.2584644291467137,,,0.5006257822277848,0.8490162907268171,,
17,0.24883751455280517,,,0.49937421777221525,0.5,,
18,0.2395218146012889,,,0.49937421777221525,0.7346491228070176,,
19,0.2316285647948583,,,0.49937421777221525,0.51375,,
20,0.22480944496062066,,,0.49937421777221525,0.5,,
