epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,time
1,0.6951930054028829,,,0.5006257822277848,0.4279166666666666,,
2,0.6934987772835626,,,0.49937421777221525,0.4965538847117794,,
3,0.693712039788564,,,0.5006257822277848,0.5869830827067669,,
4,0.6933213774363199,,,0.5006257822277848,0.5941040100250627,,
5,0.693157889313168,,,0.571964956195244,0.6014097744360902,,
6,0.6930694288677639,,,0.5006257822277848,0.6033489974937343,,
7,0.6929828572273254,,,0.49937421777221525,0.6068170426065164,,
8,0.6932354958852133,,,0.5394242803504381,0.6065288220551378,,
9,0.6925658869743347,,,0.571964956195244,0.6088690476190476,,
10,0.6911723629633586,,,0.49937421777221525,0.6110401002506266,,
11,0.689497644106547,,,0.5794743429286608,0.6167888471177945,,
12,0.6841400938563876,,,0.5757196495619524,0.6190444862155389,,
13,0.6800154325697157,,,0.5794743429286608,0.6191510025062656,,
14,0.6762727300326029,,,0.5932415519399249,0.6453790726817042,,
