epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,time
1,,,,,0.7607581453634085,,
2,,,,,0.8095300751879698,,
3,,,,,0.8239223057644111,,
4,,,,,0.8425563909774436,,
5,,,,,0.8441604010025062,,
6,,,,,0.863502506265664,,
7,,,,,0.8510526315789473,,
8,,,,,0.8722368421052631,,
9,,,,,0.8571741854636592,,
10,,,,,0.88015664160401,,
11,,,,,0.8724937343358395,,
12,,,,,0.869592731829574,,
13,,,,,0.8523245614035088,,
14,,,,,0.8777694235588972,,
15,,,,,0.8815476190476189,,
16,,,,,0.8751065162907269,,
17,,,,,0.8763032581453635,,
18,,,,,0.8823496240601505,,
19,,,,,0.8803696741854636,,
20,,,,,0.8840538847117794,,
21,,,,,0.8780137844611529,,
22,,,,,0.8803320802005012,,
23,,,,,0.8744172932330827,,
24,,,,,0.8787719298245613,,
25,,,,,0.8830200501253133,,
